MSE,alpha,sequence_length,nodes_per_layer,dropout,activation,batch_size
280.9824523925781,0.3,100,"[32, 64]",0.4,tanh,128
294.5028076171875,0.08,100,[128],0.0,tanh,16
296.055419921875,0.3,100,"[32, 64]",0.0,tanh,32
320.5160827636719,0.3,100,"[64, 128]",0.1,tanh,8
365.3157043457031,0.08,100,[64],0.3,tanh,8
373.2327575683594,0.08,70,[128],0.0,tanh,8
392.4366455078125,0.05,70,[64],0.2,tanh,64
428.586669921875,0.3,85,"[32, 64]",0.1,tanh,128
435.6121520996094,0.01,85,[128],0.2,tanh,32
448.3702697753906,0.05,70,[128],0.1,tanh,128
459.0656127929688,0.4,70,"[128, 256, 128]",0.2,tanh,32
461.29107666015625,0.08,70,"[128, 256]",0.3,tanh,32
469.7827453613281,0.08,70,"[128, 256, 128]",0.2,tanh,32
475.5614013671875,0.2,70,"[32, 64]",0.0,tanh,64
478.2501831054688,0.3,70,"[128, 256]",0.4,tanh,32
485.7751770019531,0.08,50,[32],0.4,tanh,8
488.11627197265625,0.4,70,"[128, 256]",0.2,tanh,256
499.6295776367188,0.1,70,[256],0.3,tanh,8
531.59521484375,0.1,50,[256],0.4,tanh,32
558.4577026367188,0.4,50,[128],0.4,tanh,128
558.8911743164062,0.05,50,"[64, 128]",0.1,tanh,8
563.216796875,0.05,50,[128],0.2,tanh,8
578.8505249023438,0.2,50,"[64, 128]",0.2,tanh,16
581.6669311523438,0.4,50,[64],0.0,tanh,128
589.1178588867188,0.2,40,[128],0.3,tanh,64
595.8159790039062,0.3,50,[128],0.0,tanh,256
605.1921997070312,0.08,40,[256],0.1,tanh,256
617.7342529296875,0.4,50,"[128, 256, 128]",0.2,sigmoid,8
625.1309814453125,0.2,50,[256],0.1,tanh,128
634.3162841796875,0.3,40,[64],0.2,tanh,64
635.7445068359375,0.05,40,[256],0.3,sigmoid,128
638.0477294921875,0.2,50,"[32, 64]",0.0,tanh,32
648.0706787109375,0.08,40,"[32, 64]",0.0,tanh,64
658.841796875,0.08,40,"[128, 256]",0.1,tanh,16
673.7195434570312,0.2,40,"[128, 256]",0.4,tanh,256
678.2366943359375,0.1,40,[64],0.4,tanh,128
683.0562744140625,0.08,50,"[64, 128]",0.1,tanh,32
687.8510131835938,0.3,40,[64],0.3,tanh,128
694.1362915039062,0.4,40,[64],0.1,tanh,128
698.5513916015625,0.01,50,"[64, 128]",0.4,tanh,8
707.3997192382812,0.05,50,[128],0.1,sigmoid,8
710.3568115234375,0.2,40,"[128, 256, 128]",0.3,tanh,8
720.3578491210938,0.4,40,"[32, 64]",0.0,tanh,256
727.10888671875,0.05,30,[128],0.4,tanh,64
733.8336791992188,0.08,30,[32],0.4,tanh,64
739.4996948242188,0.01,50,[256],0.0,tanh,8
742.1803588867188,0.2,30,[128],0.0,tanh,256
753.3648681640625,0.01,40,"[64, 128]",0.3,tanh,128
757.080322265625,0.05,30,[32],0.4,sigmoid,16
793.5081787109375,0.3,25,[128],0.1,tanh,16
832.6614990234375,0.3,30,[128],0.1,tanh,128
836.5117797851562,0.4,30,[128],0.1,tanh,16
844.4270629882812,0.1,25,[32],0.4,sigmoid,128
854.1993408203125,0.4,30,[256],0.0,tanh,64
854.55078125,0.2,25,"[64, 128]",0.1,sigmoid,8
867.5359497070312,0.01,100,"[32, 64]",0.1,tanh,256
901.7637939453124,0.4,30,[128],0.2,tanh,64
928.0966796875,0.05,15,"[64, 128]",0.2,tanh,16
943.675537109375,0.2,30,"[128, 256]",0.2,tanh,32
956.8345336914062,0.4,25,"[128, 256]",0.4,tanh,256
966.1531372070312,0.05,15,[256],0.4,tanh,256
969.6311645507812,0.1,15,"[32, 64]",0.4,sigmoid,8
1058.5819091796875,0.4,20,"[128, 256]",0.1,tanh,8
1160.948486328125,0.01,15,"[32, 64]",0.1,tanh,16
1188.5478515625,0.3,15,"[64, 128]",0.1,tanh,16
1275.9259033203125,0.4,15,"[64, 128]",0.3,tanh,256
1286.5076904296875,0.01,30,[32],0.1,tanh,256
1363.1600341796875,0.01,15,"[32, 64]",0.1,tanh,256
1384.826171875,0.3,10,[32],0.3,sigmoid,64
1424.2421875,0.3,10,[256],0.4,tanh,256
1562.57470703125,0.01,40,[256],0.1,tanh,32
1566.1954345703125,0.1,5,"[64, 128]",0.1,sigmoid,128
1630.935791015625,0.3,1,[256],0.1,sigmoid,128
1914.9200439453125,0.05,1,"[64, 128]",0.4,sigmoid,128
1923.425537109375,0.05,1,"[64, 128]",0.4,tanh,8
2627.689453125,0.05,50,"[128, 256, 128]",0.2,sigmoid,32
